metin,etiket
"Finans ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
"Finans ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
IT Destek ekibi bugün içinde geri dönüş sağladı.,0
"Departman Müdürü, 48 saattir yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
"Satış ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
"Departman Müdürü, 3 gündür yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"Raporlama Yönetici tarafından 5 iş günüdür tamamlanmadı, işlem bekliyor.",1
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
"Satış planlaması tamamlandı, kaynaklar atandı.",0
Ekip Lideri 5 iş günüdür bütçe onayını bekletiyor.,1
"Satış ekibinden hala geri dönüş alınamadı, süreç durdu.",1
Departman Müdürü 3 gündür izin talebi onayını bekletiyor.,1
"Finans planlaması tamamlandı, kaynaklar atandı.",0
bütçe Ekip Lideri tarafından zamanında onaylandı.,0
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Raporlama Ahmet Y. tarafından 3 gündür tamamlanmadı, proje gecikiyor.",1
İK ekibi zamanında içinde geri dönüş sağladı.,0
"IT Destek ekibinden 48 saattir geri dönüş alınamadı, süreç durdu.",1
"Destek bileti #7059, Yönetici tarafından 3 gündür incelenmedi.",1
bütçe Ahmet Y. tarafından zamanında onaylandı.,0
Müşteri verisi Departman Müdürü tarafından 1 haftadır manuel olarak girilmedi.,1
"Raporlama Yönetici tarafından 1 haftadır tamamlanmadı, müşteri bekliyor.",1
Müşteri verisi Ahmet Y. tarafından 48 saattir manuel olarak girilmedi.,1
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
"Destek bileti #3516, Ekip Lideri tarafından 48 saattir incelenmedi.",1
"Finans ekibinden 48 saattir geri dönüş alınamadı, süreç durdu.",1
İK ekibi bugün içinde geri dönüş sağladı.,0
"İK planlaması tamamlandı, kaynaklar atandı.",0
"İK ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
Haftalık planlama toplantısı Departman Müdürü ile başarıyla yapıldı.,0
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
"Ekip Lideri, 48 saattir yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
Yönetici 5 iş günüdür bütçe onayını bekletiyor.,1
Destek bileti #9161 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
"Ahmet Y., hala yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
"Satış planlaması tamamlandı, kaynaklar atandı.",0
"Finans planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
"Raporlama Ayşe K. tarafından hala tamamlanmadı, müşteri bekliyor.",1
Ayşe K. 5 iş günüdür fatura onayını bekletiyor.,1
"İK ekibinden hala geri dönüş alınamadı, süreç durdu.",1
Satış ekibi 1 saat içinde içinde geri dönüş sağladı.,0
Departman Müdürü 1 haftadır fatura onayını bekletiyor.,1
Müşteri verisi Departman Müdürü tarafından 48 saattir manuel olarak girilmedi.,1
Finans ekibi zamanında içinde geri dönüş sağladı.,0
"Destek bileti #2871, Ekip Lideri tarafından 5 iş günüdür incelenmedi.",1
Ayşe K. 48 saattir izin talebi onayını bekletiyor.,1
"Destek bileti #2801, Ahmet Y. tarafından 3 gündür incelenmedi.",1
Operasyon ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"İK planlaması 48 saattir yapılmadı, kaynak ataması bekliyor.",1
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
Ayşe K. 1 haftadır proje planı onayını bekletiyor.,1
IT Destek ekibi 1 saat içinde içinde geri dönüş sağladı.,0
Departman Müdürü 1 haftadır proje planı onayını bekletiyor.,1
"Operasyon planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
Finans ekibi bugün içinde geri dönüş sağladı.,0
"Destek bileti #1022, Ekip Lideri tarafından 1 haftadır incelenmedi.",1
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
"Yönetici, 48 saattir yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"İK planlaması tamamlandı, kaynaklar atandı.",0
Müşteri verisi Ahmet Y. tarafından 48 saattir manuel olarak girilmedi.,1
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
"Ayşe K., 48 saattir yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
IT Destek ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"Destek bileti #6178, Departman Müdürü tarafından 1 haftadır incelenmedi.",1
"Destek bileti #5384, Yönetici tarafından 3 gündür incelenmedi.",1
Departman Müdürü 48 saattir proje planı onayını bekletiyor.,1
"Departman Müdürü, hala yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
proje planı Ayşe K. tarafından zamanında onaylandı.,0
"Destek bileti #3737, Departman Müdürü tarafından 1 haftadır incelenmedi.",1
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
"Ayşe K., 5 iş günüdür yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
fatura Ekip Lideri tarafından zamanında onaylandı.,0
"İK ekibinden hala geri dönüş alınamadı, süreç durdu.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
Destek bileti #7363 Yönetici tarafından çözüldü ve kapatıldı.,0
İK ekibi zamanında içinde geri dönüş sağladı.,0
proje planı Departman Müdürü tarafından zamanında onaylandı.,0
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
bütçe Ayşe K. tarafından zamanında onaylandı.,0
"İK planlaması tamamlandı, kaynaklar atandı.",0
Destek bileti #9381 Ayşe K. tarafından çözüldü ve kapatıldı.,0
"Raporlama Ayşe K. tarafından hala tamamlanmadı, müşteri bekliyor.",1
Satış ekibi zamanında içinde geri dönüş sağladı.,0
"Raporlama Ahmet Y. tarafından hala tamamlanmadı, proje gecikiyor.",1
Müşteri verisi Departman Müdürü tarafından hala manuel olarak girilmedi.,1
Yönetici 48 saattir bütçe onayını bekletiyor.,1
Müşteri verisi Ahmet Y. tarafından 3 gündür manuel olarak girilmedi.,1
"Raporlama Ayşe K. tarafından hala tamamlanmadı, müşteri bekliyor.",1
Destek bileti #8565 Yönetici tarafından çözüldü ve kapatıldı.,0
"Ahmet Y., 5 iş günüdür yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
"Raporlama Yönetici tarafından hala tamamlanmadı, proje gecikiyor.",1
Destek bileti #1206 Yönetici tarafından çözüldü ve kapatıldı.,0
"İK planlaması tamamlandı, kaynaklar atandı.",0
"Ahmet Y., 1 haftadır yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
"Satış planlaması tamamlandı, kaynaklar atandı.",0
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
"Destek bileti #4512, Ekip Lideri tarafından 5 iş günüdür incelenmedi.",1
Finans ekibi bugün içinde geri dönüş sağladı.,0
"Destek bileti #7715, Ahmet Y. tarafından 1 haftadır incelenmedi.",1
fatura Ekip Lideri tarafından zamanında onaylandı.,0
Müşteri verisi Ayşe K. tarafından hala manuel olarak girilmedi.,1
"Finans planlaması tamamlandı, kaynaklar atandı.",0
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
İK ekibi bugün içinde geri dönüş sağladı.,0
"Satış planlaması hala yapılmadı, kaynak ataması bekliyor.",1
"Finans planlaması 48 saattir yapılmadı, kaynak ataması bekliyor.",1
Ekip Lideri 48 saattir proje planı onayını bekletiyor.,1
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
"Finans ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
IT Destek ekibi bugün içinde geri dönüş sağladı.,0
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
Destek bileti #4075 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
bütçe Ahmet Y. tarafından zamanında onaylandı.,0
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
Müşteri verisi Ayşe K. tarafından 3 gündür manuel olarak girilmedi.,1
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
"Finans ekibinden 3 gündür geri dönüş alınamadı, süreç durdu.",1
"Destek bileti #4983, Ahmet Y. tarafından 48 saattir incelenmedi.",1
"Ayşe K., 3 gündür yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"Ahmet Y., 1 haftadır yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"Destek bileti #8277, Ekip Lideri tarafından 3 gündür incelenmedi.",1
Müşteri verisi Ayşe K. tarafından 5 iş günüdür manuel olarak girilmedi.,1
"Yönetici, hala yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
"Ayşe K., 5 iş günüdür yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
IT Destek ekibi 1 saat içinde içinde geri dönüş sağladı.,0
proje planı Ahmet Y. tarafından zamanında onaylandı.,0
Destek bileti #8919 Yönetici tarafından çözüldü ve kapatıldı.,0
"Ayşe K., 1 haftadır yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Müşteri verisi Ayşe K. tarafından 1 haftadır manuel olarak girilmedi.,1
"Destek bileti #2363, Ahmet Y. tarafından 3 gündür incelenmedi.",1
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
Destek bileti #4330 Ayşe K. tarafından çözüldü ve kapatıldı.,0
"Ahmet Y., 48 saattir yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
Satış ekibi zamanında içinde geri dönüş sağladı.,0
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
proje planı Ahmet Y. tarafından zamanında onaylandı.,0
"Yönetici, 1 haftadır yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
"IT Destek ekibinden hala geri dönüş alınamadı, süreç durdu.",1
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
"Raporlama Departman Müdürü tarafından hala tamamlanmadı, işlem bekliyor.",1
"Destek bileti #3595, Yönetici tarafından 5 iş günüdür incelenmedi.",1
Departman Müdürü 3 gündür proje planı onayını bekletiyor.,1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
proje planı Departman Müdürü tarafından zamanında onaylandı.,0
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
"Yönetici, 1 haftadır yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
"Departman Müdürü, 3 gündür yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"Destek bileti #5508, Ekip Lideri tarafından 5 iş günüdür incelenmedi.",1
Operasyon ekibi bugün içinde geri dönüş sağladı.,0
Müşteri verisi Ahmet Y. tarafından 48 saattir manuel olarak girilmedi.,1
bütçe Yönetici tarafından zamanında onaylandı.,0
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
İK ekibi zamanında içinde geri dönüş sağladı.,0
"Destek bileti #1999, Ahmet Y. tarafından 1 haftadır incelenmedi.",1
"IT Destek planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
proje planı Ayşe K. tarafından zamanında onaylandı.,0
İK ekibi 1 saat içinde içinde geri dönüş sağladı.,0
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
"Yönetici, 48 saattir yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Satış ekibi 1 saat içinde içinde geri dönüş sağladı.,0
Müşteri verisi Departman Müdürü tarafından 48 saattir manuel olarak girilmedi.,1
"Raporlama Ahmet Y. tarafından 5 iş günüdür tamamlanmadı, proje gecikiyor.",1
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
Destek bileti #5213 Yönetici tarafından çözüldü ve kapatıldı.,0
"Ayşe K., 5 iş günüdür yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"Raporlama Departman Müdürü tarafından 3 gündür tamamlanmadı, işlem bekliyor.",1
Ekip Lideri hala izin talebi onayını bekletiyor.,1
Finans ekibi bugün içinde geri dönüş sağladı.,0
"Satış planlaması 1 haftadır yapılmadı, kaynak ataması bekliyor.",1
Destek bileti #2088 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
"Raporlama Ayşe K. tarafından 1 haftadır tamamlanmadı, işlem bekliyor.",1
Müşteri verisi Yönetici tarafından hala manuel olarak girilmedi.,1
Müşteri verisi Ahmet Y. tarafından 1 haftadır manuel olarak girilmedi.,1
"Satış planlaması tamamlandı, kaynaklar atandı.",0
"Finans planlaması 48 saattir yapılmadı, kaynak ataması bekliyor.",1
"Finans planlaması 3 gündür yapılmadı, kaynak ataması bekliyor.",1
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
"Yönetici, hala yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Müşteri verisi Yönetici tarafından hala manuel olarak girilmedi.,1
Ayşe K. hala proje planı onayını bekletiyor.,1
"Raporlama Ayşe K. tarafından hala tamamlanmadı, işlem bekliyor.",1
"Yönetici, 1 haftadır yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
"İK planlaması tamamlandı, kaynaklar atandı.",0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Müşteri verisi Yönetici tarafından 48 saattir manuel olarak girilmedi.,1
"IT Destek planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
Müşteri verisi Yönetici tarafından 5 iş günüdür manuel olarak girilmedi.,1
"Operasyon planlaması hala yapılmadı, kaynak ataması bekliyor.",1
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
"Destek bileti #2980, Departman Müdürü tarafından 1 haftadır incelenmedi.",1
"Satış planlaması tamamlandı, kaynaklar atandı.",0
"İK planlaması tamamlandı, kaynaklar atandı.",0
proje planı Yönetici tarafından zamanında onaylandı.,0
"IT Destek ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
"Finans planlaması tamamlandı, kaynaklar atandı.",0
Müşteri verisi Ayşe K. tarafından 48 saattir manuel olarak girilmedi.,1
"İK planlaması 5 iş günüdür yapılmadı, kaynak ataması bekliyor.",1
"Destek bileti #1665, Departman Müdürü tarafından 5 iş günüdür incelenmedi.",1
"Satış planlaması 3 gündür yapılmadı, kaynak ataması bekliyor.",1
Satış ekibi 1 saat içinde içinde geri dönüş sağladı.,0
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
"Raporlama Ayşe K. tarafından 3 gündür tamamlanmadı, müşteri bekliyor.",1
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
"Satış ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Raporlama Ekip Lideri tarafından 1 haftadır tamamlanmadı, müşteri bekliyor.",1
Raporlama Departman Müdürü tarafından yönetime sunuldu.,0
Finans ekibi bugün içinde geri dönüş sağladı.,0
Destek bileti #9222 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
Raporlama Yönetici tarafından yönetime sunuldu.,0
"Destek bileti #7055, Departman Müdürü tarafından 1 haftadır incelenmedi.",1
Müşteri verisi Departman Müdürü tarafından hala manuel olarak girilmedi.,1
"Destek bileti #2425, Departman Müdürü tarafından hala incelenmedi.",1
"Destek bileti #4439, Ayşe K. tarafından 48 saattir incelenmedi.",1
Haftalık planlama toplantısı Departman Müdürü ile başarıyla yapıldı.,0
"Operasyon planlaması 3 gündür yapılmadı, kaynak ataması bekliyor.",1
Satış ekibi zamanında içinde geri dönüş sağladı.,0
Müşteri verisi Ayşe K. tarafından 48 saattir manuel olarak girilmedi.,1
Destek bileti #9890 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
"Departman Müdürü, hala yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Destek bileti #2397 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
IT Destek ekibi zamanında içinde geri dönüş sağladı.,0
"Raporlama Ekip Lideri tarafından 5 iş günüdür tamamlanmadı, müşteri bekliyor.",1
Ahmet Y. 1 haftadır fatura onayını bekletiyor.,1
Departman Müdürü 5 iş günüdür izin talebi onayını bekletiyor.,1
"Raporlama Ahmet Y. tarafından 1 haftadır tamamlanmadı, proje gecikiyor.",1
Destek bileti #3196 Yönetici tarafından çözüldü ve kapatıldı.,0
"Ayşe K., 3 gündür yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
"Finans planlaması hala yapılmadı, kaynak ataması bekliyor.",1
bütçe Yönetici tarafından zamanında onaylandı.,0
"Destek bileti #4137, Ahmet Y. tarafından 48 saattir incelenmedi.",1
Haftalık planlama toplantısı Departman Müdürü ile başarıyla yapıldı.,0
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
Satış ekibi zamanında içinde geri dönüş sağladı.,0
"Raporlama Yönetici tarafından 48 saattir tamamlanmadı, müşteri bekliyor.",1
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
Ekip Lideri 3 gündür proje planı onayını bekletiyor.,1
"Destek bileti #5213, Ekip Lideri tarafından hala incelenmedi.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Raporlama Ayşe K. tarafından hala tamamlanmadı, işlem bekliyor.",1
Müşteri verisi Ekip Lideri tarafından 3 gündür manuel olarak girilmedi.,1
"Operasyon planlaması 48 saattir yapılmadı, kaynak ataması bekliyor.",1
proje planı Ayşe K. tarafından zamanında onaylandı.,0
"Departman Müdürü, hala yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"İK planlaması 3 gündür yapılmadı, kaynak ataması bekliyor.",1
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
"Destek bileti #1988, Departman Müdürü tarafından 3 gündür incelenmedi.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Departman Müdürü 48 saattir fatura onayını bekletiyor.,1
"İK ekibinden 1 haftadır geri dönüş alınamadı, süreç durdu.",1
"IT Destek planlaması 3 gündür yapılmadı, kaynak ataması bekliyor.",1
Destek bileti #8201 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
"Satış planlaması tamamlandı, kaynaklar atandı.",0
Müşteri verisi Ayşe K. tarafından 3 gündür manuel olarak girilmedi.,1
"Raporlama Departman Müdürü tarafından 5 iş günüdür tamamlanmadı, proje gecikiyor.",1
fatura Ayşe K. tarafından zamanında onaylandı.,0
proje planı Yönetici tarafından zamanında onaylandı.,0
"IT Destek ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
Müşteri verisi Ahmet Y. tarafından 1 haftadır manuel olarak girilmedi.,1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Destek bileti #1164, Departman Müdürü tarafından 48 saattir incelenmedi.",1
"Raporlama Departman Müdürü tarafından 5 iş günüdür tamamlanmadı, işlem bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Müşteri verisi Departman Müdürü tarafından 1 haftadır manuel olarak girilmedi.,1
Destek bileti #7686 Departman Müdürü tarafından çözüldü ve kapatıldı.,0
Müşteri verisi Yönetici tarafından 5 iş günüdür manuel olarak girilmedi.,1
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
"Finans planlaması tamamlandı, kaynaklar atandı.",0
fatura Departman Müdürü tarafından zamanında onaylandı.,0
"Destek bileti #8837, Ahmet Y. tarafından 48 saattir incelenmedi.",1
Haftalık planlama toplantısı Ahmet Y. ile başarıyla yapıldı.,0
"İK ekibinden hala geri dönüş alınamadı, süreç durdu.",1
"Raporlama Ayşe K. tarafından 5 iş günüdür tamamlanmadı, işlem bekliyor.",1
"Finans planlaması tamamlandı, kaynaklar atandı.",0
"İK planlaması tamamlandı, kaynaklar atandı.",0
Müşteri verisi Ayşe K. tarafından hala manuel olarak girilmedi.,1
fatura Ekip Lideri tarafından zamanında onaylandı.,0
"Ayşe K., hala yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
bütçe Departman Müdürü tarafından zamanında onaylandı.,0
Haftalık planlama toplantısı Yönetici ile başarıyla yapıldı.,0
Finans ekibi bugün içinde geri dönüş sağladı.,0
"Ahmet Y., 48 saattir yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Yönetici, hala yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"IT Destek ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
Ahmet Y. 3 gündür proje planı onayını bekletiyor.,1
"Destek bileti #5637, Ahmet Y. tarafından 1 haftadır incelenmedi.",1
"Ahmet Y., 5 iş günüdür yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
Departman Müdürü 1 haftadır bütçe onayını bekletiyor.,1
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
Finans ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"Operasyon planlaması 3 gündür yapılmadı, kaynak ataması bekliyor.",1
"Raporlama Ayşe K. tarafından 1 haftadır tamamlanmadı, müşteri bekliyor.",1
"Departman Müdürü, 3 gündür yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Haftalık planlama toplantısı Ayşe K. ile başarıyla yapıldı.,0
"Operasyon ekibinden hala geri dönüş alınamadı, süreç durdu.",1
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"Destek bileti #6819, Ahmet Y. tarafından 5 iş günüdür incelenmedi.",1
Destek bileti #7519 Yönetici tarafından çözüldü ve kapatıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
proje planı Ayşe K. tarafından zamanında onaylandı.,0
Haftalık planlama toplantısı Departman Müdürü ile başarıyla yapıldı.,0
Müşteri verisi Departman Müdürü tarafından 48 saattir manuel olarak girilmedi.,1
"Satış ekibinden 48 saattir geri dönüş alınamadı, süreç durdu.",1
"Raporlama Ayşe K. tarafından 48 saattir tamamlanmadı, proje gecikiyor.",1
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
Destek bileti #7667 Yönetici tarafından çözüldü ve kapatıldı.,0
Destek bileti #5505 Ekip Lideri tarafından çözüldü ve kapatıldı.,0
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
Ayşe K. 48 saattir izin talebi onayını bekletiyor.,1
Destek bileti #2311 Yönetici tarafından çözüldü ve kapatıldı.,0
"Raporlama Ayşe K. tarafından hala tamamlanmadı, müşteri bekliyor.",1
Operasyon ekibi bugün içinde geri dönüş sağladı.,0
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
Destek bileti #8162 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
Müşteri verisi Ayşe K. tarafından hala manuel olarak girilmedi.,1
Yönetici hala izin talebi onayını bekletiyor.,1
"Ekip Lideri, 1 haftadır yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Müşteri verisi Yönetici tarafından 1 haftadır manuel olarak girilmedi.,1
Destek bileti #9081 Ayşe K. tarafından çözüldü ve kapatıldı.,0
"İK planlaması tamamlandı, kaynaklar atandı.",0
Haftalık planlama toplantısı Ekip Lideri ile başarıyla yapıldı.,0
Müşteri verisi Ayşe K. tarafından hala manuel olarak girilmedi.,1
"Destek bileti #1811, Yönetici tarafından 1 haftadır incelenmedi.",1
"Destek bileti #3640, Ahmet Y. tarafından 48 saattir incelenmedi.",1
Satış ekibi 1 saat içinde içinde geri dönüş sağladı.,0
